Word,Freq,Rank
rise,3,837
Free,3,838
Conquest,3,839
buried,3,840
Powers,3,841
runne,3,842
liuing,3,843
God,3,844
proofe,3,845
Ancestors,3,846
Within,3,847
begge,3,848
Make,3,849
smiles,3,850
greefe,3,851
shout,3,852
wherein,3,853
hope,3,854
crosse,3,855
regard,3,856
Metel,3,857
friendly,3,858
Sunne,3,859
eares,3,860
tempt,3,861
content,3,862
become,3,863
Ayre,3,864
Old,3,865
bend,3,866
parts,3,867
Fooles,3,868
shame,3,869
Bed,3,870
answered,3,871
Children,3,872
Romane,3,873
yonder,3,874
publike,3,875
Besides,3,876
Both,3,877
close,3,878
told,3,879
kinde,3,880
Hart,3,881
tydings,3,882
Was,3,883
aduantage,3,884
Wine,3,885
truth,3,886
turnes,3,887
safe,3,888
soone,3,889
Cowards,3,890
loose,3,891
consider,3,892
trouble,3,893
valiant,3,894
sit,3,895
oft,3,896
toward,3,897
Can,3,898
streetes,3,899
priuate,3,900
Shores,3,901
Till,3,902
May,3,903
Prepare,3,904
Welcome,3,905
Villaines,3,906
walk,3,907
desire,3,908
Sirra,3,909
bin,3,910
breefely,3,911
Indeed,3,912
Being,3,913
beseech,3,914
saide,2,915
fiery,2,916
Spurre,2,917
hearke,2,918
nod,2,919
mourning,2,920
offence,2,921
comfort,2,922
Troopes,2,923
Motion,2,924
mens,2,925
Secrets,2,926
Mine,2,927
Beware,2,928
Sea,2,929
breed,2,930
Chariot,2,931
euils,2,932
Soule,2,933
qualitie,2,934
aske,2,935
Walkes,2,936
Morning,2,937
heeles,2,938
Lye,2,939
speede,2,940
humble,2,941
seuen,2,942
nights,2,943
Ambitions,2,944
Greeke,2,945
Point,2,946
married,2,947
doores,2,948
mad,2,949
sorry,2,950
Dyes,2,951
Wherefore,2,952
vpward,2,953
Met,2,954
ope,2,955
walking,2,956
Corpes,2,957
Commanders,2,958
stabb,2,959
Leather,2,960
strength,2,961
serues,2,962
gallant,2,963
Cobl,2,964
Asse,2,965
Curre,2,966
false,2,967
third,2,968
gouern,2,969
forgetfull,2,970
blowes,2,971
Mighty,2,972
state,2,973
saue,2,974
crost,2,975
Hearts,2,976
something,2,977
added,2,978
vnderneath,2,979
eight,2,980
liues,2,981
riu,2,982
seem,2,983
strokes,2,984
exalted,2,985
whil,2,986
stretcht,2,987
seru,2,988
Rage,2,989
Seale,2,990
aboue,2,991
groaning,2,992
pleasures,2,993
Send,2,994
deaths,2,995
Ciuill,2,996
Drum,2,997
weary,2,998
street,2,999
Gate,2,1000
Tyrant,2,1001
slaine,2,1002
deceiu,2,1003
bay,2,1004
Whil,2,1005
holy,2,1006
Limbes,2,1007
yeares,2,1008
grow,2,1009
Murderers,2,1010
yesterday,2,1011
foot,2,1012
Speak,2,1013
writ,2,1014
Ring,2,1015
Brands,2,1016
order,2,1017
practice,2,1018
laugh,2,1019
Flye,2,1020
clocke,2,1021
aside,2,1022
yeeld,2,1023
leane,2,1024
teeth,2,1025
